locus_tag	ecocyc_primary_name
b0821	ybiU
b2181	yejG
b3148	yraN
b4536	yobH
b0326	yahL
b1172	ymgG
b4567	yjjZ
b3354	yheU
b4546	ypeB
b4537	yecJ
b2959	yggL
b0645	ybeR
b0354	yaiL
b0013	yaaI
b2941	yqgD
b3159	yhbV
b4482	yigE
b4548	ypjJ
b0319	yahE
b1085	yceQ
b2071	yegJ
b2856	ygeL
b0056	yabP
b0327	yahM
b2862	ygeP
b1730	ydjO
b2145	yeiS
b3107	yhaL
b4047	yjbL
b4605	ypaB
b0295	ykgL
b2275	yfbP
b4621	yjbS
b0266	yagB
b3378	yhfU
b2345	yfdF
b2355	yfdL
b1458	yncI
b1685	ydiH
b2353	tfaS
b1471	yddK
b4277	yjgZ
b4504	ykfH
b4604	yojO
b1228	ychS
b4612	yrhD
b1295	ymjA
b3036	ygiA
b4406	yaeP
b3427	yzgL
b2857	ygeM
b0500	ybbD
b0322	yahH
b1368	ynaA
b1470	yddJ
b3808	yzcX
b1837	yebW
b2863	ygeQ
b0374	yaiU
b1173	ycgI
b2006	yeeW
b1906	yecH
b2504	yfgG
b4672	ymiB
b1196	ycgY
b1957	yodC
b4286	yjhV
b2272	yfbM
b1142	ymfH
b3467	yhhM
b4525	ymjC
b4610	ygdT
b3356	yhfA
b1811	yoaH
b0456	ybaA
b0482	ybaP
b0866	ybjQ
b4176	yjeT
b3280	yrdB
b2124	yehS
b0282	yagP
b0648	ybeU
b3776	yifO
b3810	yigA
b0499	ylbH
b4183	yjfK
b1777	yeaC
b3466	yhhL
b2649	ypjB
b3448	yhhA
b1648	ydhL
b4145	yjeJ
b0707	ybgA
b3861	yihF
b1841	yobA
b0579	ybdF
b3663	yicN
b1509	ydeU
b3820	yigI
b1724	ydiZ
b3596	yibG
b1792	yeaO
b4157	yjeN
b1383	ydbL
b4215	ytfI
b1426	ydcH
b4715	ytiA
b1810	yoaC
b0567	ybcH
b2112	yehE
b1935	yedM
b2858	ygeN
b2031	wbbL_1
b1577	ydfE
b1240	ychG_1
b1964	yedS_1
b1369	lomR_1
b4534	ynfP
b4531	yncK_1
b0691	ybfH
b0703	ybfO
b0362	yaiX_1
b4486	yjiV
b4282	yjhE
b4276	yjgX_1
b1999	yeeP
b2228	yfaS_1
b1720	arpB_1
b1028	ymdE
b1239	ychG_2
b1980	yeeL_1
